method,seed,surr_gap_mean,delay_gap_mean,n_slots_used,n_slots_skipped
cs-se-pso,0,0.02319895421965665,0.017321072081629075,172,19
cs-se-pso,1,0.022162349430444206,0.020572299905103134,173,19
cs-se-pso,2,0.02998419819683792,0.022197601841124088,171,21
cs-se-pso,3,0.024433561428785062,0.027129596521522255,171,18
cs-se-pso,4,0.016907227683306453,0.010884381463313893,165,20
cs-se-pso,5,0.019859754498834564,0.0156098926671995,169,15
cs-se-pso,6,0.036713020956865135,0.0350333265930296,179,12
cs-se-pso,7,0.032063955169455094,0.026418574654527387,170,23
cs-se-pso,8,0.029552737031841837,0.022991364641349217,163,30
cs-se-pso,9,0.032808604440804474,0.026648358328881586,173,17
cs-se-pso,10,0.024327685747177055,0.011205690773862447,172,22
cs-se-pso,11,0.032489525414316045,0.021037301705984824,180,12
cs-se-pso,12,0.02122555076163011,0.014937901692173279,167,23
cs-se-pso,13,0.02681750106717367,0.02142900419949484,173,17
cs-se-pso,14,0.027590704101130247,0.025142721678349557,172,18
cs-se-pso,15,0.020988677326922126,0.01429787112671552,177,16
cs-se-pso,16,0.03449545257035186,0.029090098769591757,166,21
cs-se-pso,17,0.021512085026646033,0.009462785581030118,178,15
cs-se-pso,18,0.024098437260603407,0.015507175911169221,174,16
cs-se-pso,19,0.023571940257384284,0.01569235686362179,174,15
cs-se-pso,20,0.015236329910882297,0.01332043221197758,178,16
cs-se-pso,21,0.018624601369185097,0.011055515836390122,177,13
cs-se-pso,22,0.02211034604243149,0.0168553703162158,168,18
cs-se-pso,23,0.02235605187508104,0.01167501950280143,169,18
cs-se-pso,24,0.02304612355882601,0.011957605774180617,183,11
cs-se-pso,25,0.025156332923537597,0.020917956880198776,175,16
cs-se-pso,26,0.029884195180619223,0.02605157861301104,174,19
cs-se-pso,27,0.02842859425501419,0.022954358736755148,173,13
cs-se-pso,28,0.021496728534031544,0.01961153023046831,179,13
cs-se-pso,29,0.020979861363468882,0.012939411212554089,173,16
cs-se-pso,30,0.016961990362131557,0.010784545993866659,170,24
cs-se-pso,31,0.01815907269739208,0.012535102281468214,173,17
cs-se-pso,32,0.01353701503672273,0.010203425892044796,168,22
cs-se-pso,33,0.026650792616638927,0.023906785247515588,172,17
cs-se-pso,34,0.038540789418368984,0.039465352575438796,179,13
cs-se-pso,35,0.020490640877898442,0.008913770028234146,168,18
cs-se-pso,36,0.020224824996242126,0.009735351152326663,168,18
cs-se-pso,37,0.013754708307962391,0.008157866415613082,174,17
cs-se-pso,38,0.030065088750082472,0.026049330772175416,168,15
cs-se-pso,39,0.02464214269675776,0.020696639082347593,177,13
cs-se-pso,40,0.017475339012496312,0.012925128712412333,169,20
cs-se-pso,41,0.0149561786213044,0.009975294573665049,171,17
cs-se-pso,42,0.02266006244618451,0.022566774977395176,169,19
cs-se-pso,43,0.021525198597932386,0.004906689220390583,173,19
cs-se-pso,44,0.03770994444174229,0.029828891338076865,172,17
cs-se-pso,45,0.021607096116916753,0.016126780201289687,177,18
cs-se-pso,46,0.018578633781146412,0.013819155220180448,179,12
cs-se-pso,47,0.012489214247720665,0.0040462390170917205,174,10
cs-se-pso,48,0.00825370157043842,0.005724120852189597,171,18
cs-se-pso,49,0.025428120617158056,0.015759561687699212,171,16
se-pso,0,0.0,0.0,172,19
se-pso,1,1.998489305482858e-06,2.8016755135129015e-06,173,19
se-pso,2,0.0,0.0,171,21
se-pso,3,0.00014768613469714578,0.0004770697859056325,171,18
se-pso,4,0.00017465315004499556,0.0006369790207453136,165,20
se-pso,5,0.0,0.0,169,15
se-pso,6,0.000601429859543322,5.74740593887492e-05,179,12
se-pso,7,2.974924600190427e-05,0.00029146034480270354,170,23
se-pso,8,0.0,0.0,163,30
se-pso,9,0.0,0.0,173,17
se-pso,10,0.0,0.0,172,22
se-pso,11,0.0011452104604150173,0.00023724917686119513,180,12
se-pso,12,0.0,0.0,167,23
se-pso,13,8.700185614692564e-05,-0.00013206847400652936,173,17
se-pso,14,8.193486750934e-05,-0.00028021316867732587,172,18
se-pso,15,0.00010821370460984943,-0.0008999114844013742,177,16
se-pso,16,5.7778275255715344e-05,-0.0006012584973014471,166,21
se-pso,17,0.0,0.0,178,15
se-pso,18,0.00022716822750664883,-0.0009413756007678377,174,16
se-pso,19,0.0,0.0,174,15
se-pso,20,0.00015286006454801767,-0.0001541361907527193,178,16
se-pso,21,5.4103754509386407e-05,-7.268812961351753e-05,177,13
se-pso,22,0.001042532621134946,-0.002119232477623379,168,18
se-pso,23,0.0,0.0,169,18
se-pso,24,0.00030468054628646923,-0.0003856788867038999,183,11
se-pso,25,0.00022842938533412406,-8.383986557177271e-05,175,16
se-pso,26,0.0003073656729414182,0.00030233822770497296,174,19
se-pso,27,0.0006339338850004313,-0.0006093809779149314,173,13
se-pso,28,0.00031325905588708546,-0.0006163467077817946,179,13
se-pso,29,4.245793575623662e-05,-2.109891877978774e-06,173,16
se-pso,30,0.00017260604021672796,-1.8303275219788783e-05,170,24
se-pso,31,0.00020814166773536202,0.0008703074114855346,173,17
se-pso,32,0.00021399842823524598,5.657679919479776e-05,168,22
se-pso,33,0.0,0.0,172,17
se-pso,34,0.0002231575141711818,-0.0009810411151967725,179,13
se-pso,35,6.528131596224121e-05,-0.0007706348617752565,168,18
se-pso,36,0.00023073656329428466,-0.0006176412895857955,168,18
se-pso,37,3.41244675732025e-05,-0.00015564534047854243,174,17
se-pso,38,1.2768533464801998e-05,2.5305435997161747e-05,168,15
se-pso,39,0.00011810109320066649,0.000726999203776952,177,13
se-pso,40,0.0,0.0,169,20
se-pso,41,2.5414303751216993e-05,0.00014640222941861763,171,17
se-pso,42,0.00035154532004252583,-0.0007712690756407421,169,19
se-pso,43,0.00010521669146839367,-0.001485404048177078,173,19
se-pso,44,0.0,0.0,172,17
se-pso,45,5.42652538375163e-05,-0.0002030485902451568,177,18
se-pso,46,0.0,0.0,179,12
se-pso,47,3.8458719536930055e-05,0.0016129464179598326,174,10
se-pso,48,0.0005365692281439909,0.0003893666368903364,171,18
se-pso,49,0.00022213395219813933,-7.463014262432935e-06,171,16
